,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre,genre_1,genre_2
419,8.997,6.0,528,500000,407100,-92900,comedy,drama,romance
421,14.095999999999998,5.3,959,50000000,41042583,-8957417,action,fantasy,thriller
422,6.957000000000001,4.0,94,12000000,0,-12000000,action,comedy,crime
428,1.4909999999999999,5.4,16,5200000,11633427,6433427,action,crime,drama
430,24.358,7.4,9156,150000000,499837368,349837368,action,drama,history
433,7.507999999999999,4.4,243,20000000,6093725,-13906275,action,comedy,crime
435,16.675,5.9,338,50000000,45285890,-4714110,adventure,animation,comedy
436,7.189,5.7,377,13000000,42174545,29174545,adventure,family,sci-fi
437,14.69,6.8,4168,8000000,76200721,68200721,comedy,drama,romance
439,0.907,4.5,2,100000,0,-100000,action,drama,sci-fi
440,11.482999999999999,7.2,1190,23000000,45060480,22060480,biography,comedy,drama
443,11.252,6.3,794,60000000,82812456,22812456,crime,drama,mystery
448,6.2410000000000005,6.2,48,10000000,197901,-9802099,comedy,drama,romance
452,13.152000000000001,7.3,1770,15000000,57586606,42586606,action,crime,drama
453,15.533,6.6,3558,110000000,127983283,17983283,action,adventure,fantasy
456,8.722000000000001,6.7,464,8000000,25621449,17621449,comedy,drama,romance
457,6.899,6.7,83,500000,0,-500000,mystery,sci-fi,thriller
460,13.995,6.4,1670,100000000,262794441,162794441,adventure,animation,family
461,9.227,5.8,459,40000000,74156610,34156610,adventure,animation,comedy
462,5.742999999999999,4.8,117,650000,171962,-478038,drama,fantasy,horror
463,17.88,6.7,2799,70000000,103735965,33735965,action,crime,mystery
464,15.924000000000001,6.3,476,17000000,3917679,-13082321,crime,drama,history
465,19.9,6.7,2874,65000000,221297061,156297061,action,adventure,biography
469,13.089,6.4,2664,17000000,97778356,80778356,fantasy,horror,thriller
470,4.208,6.3,73,80000000,98341932,18341932,drama,mystery,sci-fi
471,18.485,7.6,8026,13000000,38358392,25358392,drama,mystery,sci-fi
472,5.934,4.7,121,25000,489792,464792,horror,mystery,thriller
473,26.789,5.7,2909,140000000,268314513,128314513,action,adventure,drama
475,10.219,7.1,850,13000000,35402802,22402802,drama,thriller,war
477,11.624,6.6,384,50000000,26097497,-23902503,biography,drama,thriller
478,0.6,4.2,3,550000,9111,-540889,biography,documentary,drama
480,28.563000000000002,7.4,12152,180000000,802402853,622402853,adventure,family,fantasy
481,48.508,6.9,4870,200000000,652220086,452220086,adventure,family,fantasy
482,16.36,4.4,3837,87500000,333132750,245632750,action,adventure,drama
483,2.097,7.2,4294,125000000,630163454,505163454,action,crime,thriller
484,14.172,6.2,895,24000000,35792945,11792945,action,crime,drama
486,12.45,5.8,277,25000000,21038441,-3961559,adventure,comedy,drama
491,19.479,7.1,1425,111000000,289847930,178847930,adventure,animation,comedy
493,22.511999999999997,6.1,3535,55000000,371350619,316350619,drama,romance,thriller
495,21.229,5.4,6451,40000000,570998101,530998101,drama,romance,thriller
496,0.6,5.2,3,500000,0,-500000,action,romance,sport
500,15.392999999999999,7.0,7845,200000000,1021215193,821215193,adventure,animation,comedy
502,12.943,6.9,446,3500000,3874772,374772,drama,mystery,thriller
504,9.844,5.7,1249,26000000,61308153,35308153,drama,horror,mystery
506,9.781,7.4,859,14000000,4289993,-9710007,comedy,drama,romance
507,8.453,6.7,849,29000000,56000339,27000339,biography,comedy,drama
508,10.704,6.8,4173,65000000,168065700,103065700,comedy,crime,drama
509,4.705,2.1,46,45000000,73706,-44926294,action,animation,comedy
510,10.269,6.6,929,24000000,62989834,38989834,comedy,drama,music
512,4.519,6.6,63,12000000,10026255,-1973745,drama,history,war
514,15.953,7.4,406,3500000,16376066,12876066,drama,music,romance
516,0.669,6.3,2,3000000,78948,-2921052,drama,history,war
517,4.738,5.4,21,12000000,46730578,34730578,documentary,drama,news
518,9.968,7.0,621,3750000,2436111,-1313889,comedy,crime,drama
519,9.42,7.4,624,3000000,11262769,8262769,comedy,drama,romance
520,3.989,5.8,51,45000000,112006296,67006296,horror,sci-fi,thriller
521,14.627,6.8,1685,39000000,81150788,42150788,animation,comedy,family
523,9.31,5.8,231,33000000,70958,-32929042,comedy,horror,sci-fi
524,4.476,5.1,28,6000000,0,-6000000,comedy,crime,thriller
525,11.062000000000001,5.8,410,55000000,110387072,55387072,adventure,animation,comedy
526,12.116,6.3,540,10000000,3793739,-6206261,action,comedy,crime
527,8.574,6.6,787,50000000,23237252,-26762748,action,biography,drama
528,7.313,7.3,360,7000000,1732228,-5267772,biography,drama,romance
534,12.862,6.2,1075,52000000,53139168,1139168,action,crime,thriller
535,9.722999999999999,6.3,80,2300000,59696,-2240304,crime,drama,family
536,9.677999999999999,5.8,987,150000000,1272469910,1122469910,adventure,drama,sport
537,9.587,7.4,645,900000,17549645,16649645,biography,drama,romance
539,20.396,7.3,6538,190000000,1518722794,1328722794,action,crime,thriller
541,29.116999999999997,7.4,6653,80000000,210315681,130315681,action,drama,war
542,15.065,5.5,3883,140000000,375740705,235740705,action,adventure,sci-fi
543,19.459,6.9,2756,37000000,117378084,80378084,action,comedy,crime
544,13.029000000000002,6.3,2527,60000000,104100903,44100903,action,crime,drama
546,13.652999999999999,5.8,2246,100000000,220796009,120796009,action,sci-fi,thriller
548,8.485,5.9,980,40000000,91455875,51455875,adventure,comedy,music
549,6.287999999999999,6.7,251,30000000,33339868,3339868,biography,drama,music
550,0.8340000000000001,5.5,8,5000000,255367951,250367951,horror,mystery,thriller
553,21.308000000000003,6.0,5128,110000000,167910690,57910690,action,drama,sci-fi
554,18.678,4.8,2039,57000000,149217355,92217355,action,fantasy,thriller
555,16.079,5.4,3780,30000000,295212467,265212467,action,comedy,fantasy
560,5.925,6.5,83,30000000,4967493,-25032507,comedy,drama,romance
562,18.517,5.4,2353,140000000,138836756,-1163244,action,adventure,fantasy
563,24.982,6.1,5053,160000000,529076069,369076069,action,adventure,sci-fi
566,31.215,7.9,10459,61000000,368567189,307567189,drama,mystery,thriller
567,1.179,5.1,7,10000000,0,-10000000,drama,romance,thriller
568,18.957,6.2,2147,58000000,158905324,100905324,adventure,comedy,family
569,20.238,5.6,428,35000000,93291478,58291478,adventure,comedy,family
570,10.033999999999999,5.2,231,10000000,6089100,-3910900,biography,crime,drama
