,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre
45,21.121,6.6,1756,20000000,97628717,77628717,comedy
46,35.848,7.5,5676,36000000,433449571,397449571,documentary
47,7.12,7.5,500,8000000,17382693,9382693,biography
48,8.017000000000001,6.1,685,40000000,20790486,-19209514,comedy
49,1.218,6.6,4,45000,0,-45000,comedy
50,19.373,6.3,1685,28000000,62108587,34108587,action
51,6.935,5.9,402,8000000,37119358,29119358,adventure
52,12.529000000000002,5.0,1073,103000000,133401882,30401882,adventure
53,17.69,5.8,1791,35000000,86648359,51648359,action
54,8.465,6.0,312,13000000,50445860,37445860,comedy
55,14.133,7.9,3981,12000000,89309178,77309178,comedy
56,0.782,8.0,5,1300000,288751,-1011249,documentary
57,12.498,5.6,2009,67500000,137489730,69989730,action
58,10.357000000000001,5.9,175,70000,8555,-61445,sci-fi
59,6.487,4.0,172,26000000,135436,-25864564,comedy
60,10.6,6.6,186,20000000,46627836,26627836,drama
61,12.197000000000001,6.3,583,12000000,82497035,70497035,action
62,6.744,5.2,81,7000000,20257000,13257000,action
63,12.84,5.2,136,19000000,5103675,-13896325,comedy
64,8.295,5.3,103,5000000,17499242,12499242,drama
65,5.466,6.4,86,20000000,38585047,18585047,action
66,8.065,5.5,385,13000000,18733666,5733666,comedy
67,16.785999999999998,6.7,1264,35000000,57897191,22897191,drama
68,8.058,5.2,29,750000,0,-750000,crime
69,7.712000000000001,5.7,86,650000,0,-650000,drama
70,14.415,5.1,4154,130000000,251499665,121499665,action
71,8.166,6.2,217,5000000,1075009,-3924991,crime
72,6.971,3.9,56,65000000,516279,-64483721,action
73,2.877,3.9,31,1200000,0,-1200000,comedy
74,6.277,6.3,227,7500000,8539003,1039003,drama
75,9.962,5.1,424,35000000,35426759,426759,action
76,6.7829999999999995,6.2,817,28000000,101379287,73379287,comedy
77,22.02,6.6,8713,3000000,0,-3000000,fantasy
78,16.642,6.5,3803,170000000,276928112,106928112,adventure
79,24.651,5.9,4971,97000000,238521247,141521247,horror
80,7.249,6.4,695,45000000,54876855,9876855,biography
81,7.871,6.0,493,20000000,873617,-19126383,crime
82,9.869,6.6,949,8500000,10386814,1886814,action
83,4.042,6.1,25,2000000,5941994,3941994,drama
84,2.0780000000000003,3.9,19,20000,0,-20000,sci-fi
85,3.0580000000000003,7.0,9,500000,0,-500000,horror
86,19.611,6.7,2765,106000000,119266661,13266661,action
87,6.532,5.6,245,17000000,42493506,25493506,comedy
88,11.022,7.5,1339,60000000,47371191,-12628809,comedy
89,4.944,5.5,61,8000000,237688,-7762312,drama
90,9.685,5.3,1226,37000000,25387091,-11612909,comedy
91,24.535999999999998,5.9,1167,51000000,99624873,48624873,adventure
92,12.672,5.5,1055,80000000,349088523,269088523,adventure
93,14.972999999999999,5.8,852,90000000,249517956,159517956,adventure
94,15.434000000000001,6.3,1596,63000000,68310140,5310140,action
95,7.271,4.6,213,10000000,2341218,-7658782,action
96,6.56,5.0,93,1000000,26,-999974,action
